rooms,area_m2,price,floor,total_floor,is_new_building,place
2,60,450,5,16,1,Xırdalan
2,50,700,3,5,0,Şah İsmayıl Xətai m.
4,170,1283,7,15,1,İnşaatçılar m.
2,101,850,5,14,1,Elmlər Akademiyası m.
2,86,900,9,14,1,Nizami m.
4,180,2000,13,17,1,Nəriman Nərimanov m.
2,66,800,11,16,1,Nərimanov r.
2,53,730,14,16,1,Dərnəgül m.
3,145,1000,4,16,1,Nərimanov r.
2,80,1999,10,20,1,Ağ şəhər q.
2,95,900,14,17,1,Qara Qarayev m.
3,126,1300,8,16,1,Yasamal q.
3,110,2600,6,7,0,Xətai r.
3,150,1500,11,17,1,Gənclik m.
3,150,1799,6,14,1,Nərimanov r.
1,40,400,2,4,0,Nəsimi r.
2,60,450,3,13,1,Sumqayıt
2,60,660,7,9,0,İnşaatçılar m.
2,40,500,5,5,0,Qara Qarayev m.
2,56,730,16,17,1,Elmlər Akademiyası m.
3,110,1000,13,17,1,Nizami m.
3,130,1000,4,14,1,Gənclik m.
2,70,699,11,15,1,Memar Əcəmi m.
3,65,500,5,9,0,Əhmədli m.
2,45,400,5,5,0,Xırdalan
2,45,499,5,5,0,Qara Qarayev m.
2,100,1250,13,15,1,28 May m.
3,112,800,7,10,1,Yeni Yasamal q.
2,80,1000,7,16,1,28 May m.
2,70,800,3,17,1,Elmlər Akademiyası m.
2,70,1000,9,27,1,8 Noyabr m.
2,70,750,18,20,1,8 Noyabr m.
3,61,600,7,11,1,Bakıxanov q.
3,115,1000,4,4,0,Nəriman Nərimanov m.
3,110,1000,13,17,1,Nizami m.
2,92,1500,6,17,1,Nərimanov r.
3,65,650,5,5,0,Elmlər Akademiyası m.
2,50,500,2,4,0,Nizami m.
3,115,1000,14,16,1,İnşaatçılar m.
2,75,600,4,12,1,Yeni Yasamal q.
2,70,1000,3,17,1,İçəri Şəhər m.
3,140,1100,6,19,1,Nəsimi r.
3,140,1200,11,12,1,Nizami m.
2,60,699,2,2,0,Sahil m.
2,60,700,13,19,1,Həzi Aslanov m.
2,50,620,14,20,1,20 Yanvar m.
3,137,1800,11,14,1,Nərimanov r.
2,85,1100,7,17,1,28 May m.
4,200,2000,5,5,0,Bayıl q.
2,110,1250,24,24,1,Şah İsmayıl Xətai m.
2,75,1000,9,17,1,Nərimanov r.
3,135,1000,11,17,1,Şah İsmayıl Xətai m.
2,85,1000,7,17,1,28 May m.
3,121,2350,6,7,0,Ağ şəhər q.
3,68,450,1,5,0,Xırdalan
2,68,760,8,16,1,Badamdar q.
3,120,1200,5,16,1,28 May m.
3,72,1100,7,17,1,Nərimanov r.
2,90,800,10,21,1,Nəriman Nərimanov m.
1,46,900,5,7,0,Sea Breeze q.
2,73,800,4,4,0,Sahil m.
3,92,1000,2,5,0,Nəsimi r.
2,50,650,3,16,1,20 Yanvar m.
3,105,1200,11,19,1,Azadlıq Prospekti m.
3,105,1200,11,19,1,Azadlıq Prospekti m.
3,115,1200,11,18,1,28 May m.
2,50,549,1,5,0,Nəriman Nərimanov m.
2,65,300,1,8,0,Masazır q.
2,73,1000,10,16,1,28 May m.
3,120,1000,7,16,1,Nəriman Nərimanov m.
2,78,800,6,18,1,28 May m.
2,105,1250,11,18,1,Nizami m.
2,78,1500,10,10,1,Nərimanov r.
3,70,1000,5,5,0,28 May m.
4,140,2500,1,7,0,Nərimanov r.
2,90,750,3,14,1,20 Yanvar m.
2,40,450,3,5,0,Memar Əcəmi m.
3,101,2500,4,6,0,Ağ şəhər q.
2,70,800,3,17,1,İçəri Şəhər m.
3,115,1000,14,16,1,İnşaatçılar m.
4,160,1000,13,18,1,20 Yanvar m.
2,75,800,3,17,1,Elmlər Akademiyası m.
2,85,1100,6,8,0,Nəriman Nərimanov m.
4,212,1500,8,18,1,Nəsimi r.
2,100,700,7,19,1,20 Yanvar m.
2,70,1050,6,18,1,8 Noyabr m.
3,145,1500,14,18,1,Səbail r.
2,70,1100,6,18,1,Nəriman Nərimanov m.
2,80,1000,8,12,1,Nəsimi r.
3,125,1350,16,17,1,Nəriman Nərimanov m.
3,120,2000,5,18,1,Elmlər Akademiyası m.
3,136,1000,3,12,1,İnşaatçılar m.
3,70,650,3,5,0,İnşaatçılar m.
4,207,1121,7,10,1,Koroğlu m.
2,111,850,8,10,1,Koroğlu m.
2,68,1200,11,17,1,Elmlər Akademiyası m.
3,140,1000,14,18,1,8 Noyabr m.
3,74,1290,7,71,1,Bakmil m.
2,75,800,4,5,0,28 May m.
2,81,1000,7,17,1,28 May m.
2,73,1199,9,10,1,Nəsimi r.
2,60,900,5,17,1,Nəriman Nərimanov m.
3,77,800,5,17,1,20 Yanvar m.
2,105,1300,24,27,1,8 Noyabr m.
2,75,1700,7,20,1,Şah İsmayıl Xətai m.
2,65,850,14,21,1,Şah İsmayıl Xətai m.
3,140,2500,4,7,0,Ağ şəhər q.
3,125,1300,10,18,1,28 May m.
4,135,1500,12,18,1,28 May m.
2,100,1200,11,18,1,Şah İsmayıl Xətai m.
3,80,1200,8,18,1,20 Yanvar m.
2,65,900,6,20,1,Xətai r.
3,125,2350,6,7,0,Ağ şəhər q.
2,60,499,5,5,0,Memar Əcəmi m.
3,100,900,7,16,1,Nizami m.
2,56,1000,10,10,1,8 Noyabr m.
3,148,2000,17,27,1,8 Noyabr m.
3,90,1400,16,17,1,28 May m.
3,125,1550,9,17,1,28 May m.
2,118,3690,8,23,1,Nəsimi r.
2,66,1221,8,11,1,28 May m.
2,60,650,12,13,1,Həzi Aslanov m.
4,160,1400,13,18,1,20 Yanvar m.
2,67,1000,2,9,0,Elmlər Akademiyası m.
3,130,2100,8,21,1,Şah İsmayıl Xətai m.
2,40,450,5,5,0,Neftçilər m.
2,50,650,3,9,0,Qara Qarayev m.
3,60,420,5,7,0,Masazır q.
2,80,1300,4,18,1,Bayıl q.
2,53,500,3,3,0,Nəriman Nərimanov m.
2,92,500,7,14,1,Sumqayıt
3,200,1600,9,16,1,Elmlər Akademiyası m.
3,85,800,12,21,1,Xətai r.
3,100,1000,10,17,1,Nəsimi r.
4,136,900,2,13,1,Qara Qarayev m.
3,94,650,10,17,1,Əhmədli m.
2,74,750,14,18,1,Qara Qarayev m.
2,102,800,16,16,1,Neftçilər m.
3,70,700,5,5,0,Neftçilər m.
2,45,600,9,10,1,Xalqlar Dostluğu m.
3,125,2300,12,20,1,Ağ şəhər q.
2,70,1000,9,21,1,Şah İsmayıl Xətai m.
2,77,700,7,16,1,20 Yanvar m.
2,105,1000,6,18,1,Elmlər Akademiyası m.
3,100,900,2,3,0,Sahil m.
2,65,550,2,12,1,İnşaatçılar m.
2,70,450,5,11,1,Xırdalan
3,78,470,6,12,1,Sumqayıt
3,72,600,10,10,1,Əhmədli q.
2,65,750,8,15,1,Nizami m.
1,45,1100,4,4,0,Sahil m.
3,82,400,10,11,1,Xırdalan
3,136,2000,7,7,0,Ağ şəhər q.
2,60,600,10,14,1,Qara Qarayev m.
2,55,500,4,5,0,Neftçilər m.
2,55,370,6,6,0,Masazır q.
2,50,1500,6,6,0,Ağ şəhər q.
2,44,750,2,5,0,Nəsimi r.
2,70,1300,10,17,1,Nizami m.
1,46,850,2,8,0,Sea Breeze q.
3,106,2500,4,6,0,Ağ şəhər q.
3,120,1250,7,16,1,Nəriman Nərimanov m.
3,100,800,4,9,0,İnşaatçılar m.
2,70,600,8,18,1,Bayıl q.
2,82,800,10,16,1,Nəriman Nərimanov m.
2,45,700,4,5,0,Nizami m.
2,40,350,2,5,0,Sumqayıt
2,95,250,11,20,1,20 Yanvar m.
2,50,600,17,17,1,Nizami r.
3,120,2000,11,22,1,Nəsimi r.
3,111,300,3,6,0,Ağ şəhər q.
2,60,800,2,7,0,Sahil m.
3,150,900,11,17,1,Nəsimi r.
2,65,800,1,3,0,İçəri Şəhər m.
3,110,550,6,7,0,Xırdalan
2,65,2000,11,20,1,Şah İsmayıl Xətai m.
2,75,500,6,14,1,Sumqayıt
2,65,750,10,16,1,Dərnəgül m.
2,67,1000,4,16,1,Nəriman Nərimanov m.
2,77,700,8,16,1,İnşaatçılar m.
2,50,600,17,17,1,Azadlıq Prospekti m.
3,145,1200,3,16,1,Şah İsmayıl Xətai m.
3,105,1050,2,5,0,Nəriman Nərimanov m.
3,120,1000,16,19,1,Elmlər Akademiyası m.
3,80,650,1,5,0,Səbail r.
3,120,1200,5,14,1,Nəsimi r.
5,270,5200,5,10,1,Nərimanov r.
3,105,1900,2,7,0,Ağ şəhər q.
2,45,850,11,16,1,Kubinka q.
2,75,600,14,18,1,Qara Qarayev m.
3,100,900,11,18,1,İnşaatçılar m.
2,65,450,10,16,1,Xırdalan
2,70,650,4,5,0,Qara Qarayev m.
2,65,800,1,9,0,Xalqlar Dostluğu m.
3,132,2200,9,16,1,Nəsimi r.
2,55,700,17,17,1,Həzi Aslanov m.
3,85,800,12,21,1,Xətai r.
2,65,750,4,22,1,Şah İsmayıl Xətai m.
3,95,650,15,18,1,Əhmədli m.
3,175,1700,8,23,1,Nizami m.
3,110,1000,13,17,1,Nizami m.
2,70,800,3,17,1,İçəri Şəhər m.
2,50,700,9,20,1,20 Yanvar m.
2,70,1300,6,20,1,Ağ şəhər q.
2,65,600,6,9,0,Əhmədli m.
2,75,650,5,16,1,Yeni Yasamal q.
3,170,1500,6,19,1,Yasamal r.
2,55,500,5,5,0,7
2,58,500,5,5,0,Həzi Aslanov q.
3,120,700,11,12,1,İnşaatçılar m.
3,100,1300,2,4,0,28 May m.
3,80,500,2,3,0,Binəqədi q.
3,120,800,8,16,1,Xalqlar Dostluğu m.
2,70,900,2,5,0,Nardaran q.
2,65,1300,6,20,1,Ağ şəhər q.
3,145,2300,6,19,1,28 May m.
3,135,1100,3,4,0,Elmlər Akademiyası m.
2,50,500,13,16,1,Xırdalan
2,87,1000,17,18,1,Şah İsmayıl Xətai m.
2,55,450,5,5,0,Bakıxanov q.
3,110,850,12,21,1,Həzi Aslanov q.
2,80,1000,7,16,1,28 May m.
2,50,699,2,3,0,Nizami m.
3,150,1000,9,17,1,Nizami m.
3,150,2000,4,10,1,28 May m.
3,145,1200,3,16,1,Şah İsmayıl Xətai m.
2,60,800,6,16,1,28 May m.
2,100,799,7,20,1,28 May m.
5,155,1800,3,5,0,Nizami m.
3,100,800,13,16,1,Əhmədli q.
2,80,1200,15,22,1,Nizami m.
4,105,600,8,16,1,Sumqayıt
3,110,1000,4,16,1,Nizami m.
5,320,5600,18,30,1,Səbail r.
