location,rooms,area_m2,price,url
"Elan №5767917 - Bakı, İnşaatçılar m., 2 otaqlı, 54 m², 11/17 mərtəbə",2,54,650,https://bina.az/items/5767917
"Elan №5735745 - Bakı, 20 Yanvar m., 2 otaqlı, 50 m², 18/19 mərtəbə",2,50,600,https://bina.az/items/5735745
"Elan №5755470 - Bakı, Həzi Aslanov m., 4 otaqlı, 110 m², 2/5 mərtəbə",4,110,700,https://bina.az/items/5755470
"Elan №5681128 - Bakı, Həzi Aslanov m., 2 otaqlı, 100 m², 14/17 mərtəbə",2,100,700,https://bina.az/items/5681128
"Elan №5767909 - Bakı, 28 May m., 2 otaqlı, 108 m², 16/20 mərtəbə",2,108,1400,https://bina.az/items/5767909
"Elan №5767907 - Bakı, İçəri Şəhər m., 2 otaqlı, 60 m², 1/3 mərtəbə",2,60,700,https://bina.az/items/5767907
"Elan №5580680 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 120 m², 13/21 mərtəbə",3,120,1150,https://bina.az/items/5580680
"Elan №5767908 - Xırdalan, Xırdalan, 3 otaqlı, 55 m², 4/4 mərtəbə",3,55,450,https://bina.az/items/5767908
"Elan №5238463 - Bakı, Masazır q., 2 otaqlı, 55 m², 2/6 mərtəbə",2,55,350,https://bina.az/items/5238463
"Elan №5706635 - Bakı, 28 May m., 5 otaqlı, 280 m², 1/18 mərtəbə",5,280,3000,https://bina.az/items/5706635
"Elan №5767896 - Bakı, İnşaatçılar m., 3 otaqlı, 150 m², 17/17 mərtəbə",3,150,800,https://bina.az/items/5767896
"Elan №5767897 - Bakı, Nərimanov r., 2 otaqlı, 80 m², 10/14 mərtəbə",2,80,1900,https://bina.az/items/5767897
"Elan №5767898 - Xırdalan, Xırdalan, 2 otaqlı, 40 m², 9/17 mərtəbə",2,40,500,https://bina.az/items/5767898
"Elan №5763785 - Bakı, Memar Əcəmi m., 3 otaqlı, 110 m², 18/18 mərtəbə",3,110,650,https://bina.az/items/5763785
"Elan №5767894 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 75 m², 10/14 mərtəbə",2,75,1800,https://bina.az/items/5767894
"Elan №5726622 - Bakı, Memar Əcəmi m., 2 otaqlı, 57 m², 8/18 mərtəbə",2,57,550,https://bina.az/items/5726622
"Elan №5606537 - Bakı, İnşaatçılar m., 2 otaqlı, 52 m², 4/20 mərtəbə",2,52,600,https://bina.az/items/5606537
"Elan №5767887 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 130 m², 8/17 mərtəbə",3,130,2500,https://bina.az/items/5767887
"Elan №5732147 - Bakı, Memar Əcəmi m., 3 otaqlı, 100 m², 10/18 mərtəbə",3,100,900,https://bina.az/items/5732147
"Elan №5340182 - Bakı, 28 May m., 1 otaqlı, 20 m², 2/3 mərtəbə",1,20,400,https://bina.az/items/5340182
"Elan №5744512 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 90 m², 3/4 mərtəbə",3,90,750,https://bina.az/items/5744512
"Elan №5767882 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 120 m², 8/16 mərtəbə",3,120,1200,https://bina.az/items/5767882
"Elan №5703879 - Bakı, Nizami m., 5 otaqlı, 160 m², 2/5 mərtəbə",5,160,2500,https://bina.az/items/5703879
"Elan №5767879 - Bakı, Nərimanov r., 2 otaqlı, 70 m², 3/17 mərtəbə",2,70,1200,https://bina.az/items/5767879
"Elan №5712634 - Bakı, Memar Əcəmi m., 2 otaqlı, 70 m², 9/18 mərtəbə",2,70,550,https://bina.az/items/5712634
"Elan №5767872 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 96.5 m², 10/19 mərtəbə",2,5,800,https://bina.az/items/5767872
"Elan №5756652 - Bakı, Nərimanov r., 2 otaqlı, 60 m², 8/16 mərtəbə",2,60,900,https://bina.az/items/5756652
"Elan №5763930 - Bakı, Elmlər Akademiyası m., 3 otaqlı, 166 m², 18/18 mərtəbə",3,166,3800,https://bina.az/items/5763930
"Elan №5749545 - Bakı, İnşaatçılar m., 3 otaqlı, 130 m², 2/16 mərtəbə",3,130,230,https://bina.az/items/5749545
"Elan №5534727 - Bakı, Nərimanov r., 3 otaqlı, 145 m², 10/18 mərtəbə",3,145,1200,https://bina.az/items/5534727
"Elan №5767863 - Bakı, 8 Noyabr m., 2 otaqlı, 73 m², 10/20 mərtəbə",2,73,999,https://bina.az/items/5767863
"Elan №5744362 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 65 m², 10/16 mərtəbə",2,65,1350,https://bina.az/items/5744362
"Elan №5752072 - Bakı, Nəsimi m., 2 otaqlı, 68 m², 9/9 mərtəbə",2,68,600,https://bina.az/items/5752072
"Elan №5767865 - Bakı, İnşaatçılar m., 2 otaqlı, 50 m², 4/11 mərtəbə",2,50,600,https://bina.az/items/5767865
"Elan №5600838 - Bakı, Ağ şəhər q., 3 otaqlı, 102 m², 4/7 mərtəbə",3,102,2000,https://bina.az/items/5600838
"Elan №5767861 - Bakı, Bakıxanov q., 3 otaqlı, 61 m², 7/11 mərtəbə",3,61,600,https://bina.az/items/5767861
"Elan №5767860 - Bakı, Xalqlar Dostluğu m., 2 otaqlı, 58 m², 13/16 mərtəbə",2,58,500,https://bina.az/items/5767860
"Elan №5758656 - Bakı, Ağ şəhər q., 2 otaqlı, 60 m², 4/7 mərtəbə",2,60,2200,https://bina.az/items/5758656
"Elan №5720454 - Bakı, Massiv D q., 3 otaqlı, 66 m², 16/18 mərtəbə",3,66,600,https://bina.az/items/5720454
"Elan №5767857 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 140 m², 12/15 mərtəbə",3,140,1500,https://bina.az/items/5767857
"Elan №5767855 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 70 m², 3/17 mərtəbə",2,70,800,https://bina.az/items/5767855
"Elan №5546454 - Bakı, Nəsimi r., 3 otaqlı, 172 m², 8/18 mərtəbə",3,172,3300,https://bina.az/items/5546454
"Elan №5756256 - Bakı, Elmlər Akademiyası m., 3 otaqlı, 71 m², 1/5 mərtəbə",3,71,650,https://bina.az/items/5756256
"Elan №5767853 - Bakı, Nəsimi r., 2 otaqlı, 90 m², 3/16 mərtəbə",2,90,1000,https://bina.az/items/5767853
"Elan №5693428 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 65 m², 6/17 mərtəbə",2,65,900,https://bina.az/items/5693428
"Elan №5253629 - Bakı, Nizami m., 5 otaqlı, 170 m², 4/5 mərtəbə",5,170,1100,https://bina.az/items/5253629
"Elan №5736235 - Bakı, İçəri Şəhər m., 2 otaqlı, 60 m², 4/5 mərtəbə",2,60,850,https://bina.az/items/5736235
"Elan №5767843 - Bakı, Memar Əcəmi m., 2 otaqlı, 97 m², 10/18 mərtəbə",2,97,700,https://bina.az/items/5767843
"Elan №5767846 - Sumqayıt, Sumqayıt, 3 otaqlı, 120 m², 6/10 mərtəbə",3,120,800,https://bina.az/items/5767846
"Elan №5761261 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 60 m², 6/8 mərtəbə",2,60,700,https://bina.az/items/5761261
"Elan №5606517 - Bakı, Ağ şəhər q., 3 otaqlı, 100 m², 7/8 mərtəbə",3,100,1600,https://bina.az/items/5606517
"Elan №5767834 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 100 m², 6/16 mərtəbə",2,100,750,https://bina.az/items/5767834
"Elan №5758786 - Bakı, Nizami m., 4 otaqlı, 180 m², 16/18 mərtəbə",4,180,1600,https://bina.az/items/5758786
"Elan №5764687 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 68 m², 6/19 mərtəbə",2,68,1000,https://bina.az/items/5764687
"Elan №5765499 - Bakı, Nəriman Nərimanov m., 3 otaqlı, 130 m², 11/18 mərtəbə",3,130,1100,https://bina.az/items/5765499
"Elan №5756238 - Bakı, İnşaatçılar m., 2 otaqlı, 90 m², 4/14 mərtəbə",2,90,750,https://bina.az/items/5756238
"Elan №5767831 - Bakı, Yasamal q., 3 otaqlı, 120 m², 17/17 mərtəbə",3,120,800,https://bina.az/items/5767831
"Elan №5747554 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 80 m², 10/16 mərtəbə",2,80,650,https://bina.az/items/5747554
"Elan №5723325 - Bakı, Bakıxanov q., 3 otaqlı, 61 m², 7/11 mərtəbə",3,61,600,https://bina.az/items/5723325
"Elan №5767828 - Bakı, İnşaatçılar m., 2 otaqlı, 45 m², 1/5 mərtəbə",2,45,600,https://bina.az/items/5767828
"Elan №5732168 - Bakı, Nəriman Nərimanov m., 3 otaqlı, 135 m², 9/19 mərtəbə",3,135,1800,https://bina.az/items/5732168
